cell,type
MGH45_P10_A01,tumor
MGH45_P10_A02,tumor
MGH45_P10_A05,tumor
MGH45_P10_A06,tumor
MGH45_P10_A08,tumor
MGH45_P10_A11,tumor
MGH45_P10_A12,tumor
MGH45_P10_B03,tumor
MGH45_P10_B04,tumor
MGH45_P10_B05,tumor
MGH45_P10_B07,tumor
MGH45_P10_B08,tumor
MGH45_P10_B09,tumor
MGH45_P10_B10,tumor
MGH45_P10_B11,tumor
MGH45_P10_B12,tumor
MGH45_P10_C01,tumor
MGH45_P10_C03,tumor
MGH45_P10_C08,tumor
MGH45_P10_C10,tumor
MGH45_P10_C11,tumor
MGH45_P10_C12,tumor
MGH45_P10_D04,tumor
MGH45_P10_D06,tumor
MGH45_P10_D07,tumor
MGH45_P10_D09,tumor
MGH45_P10_D10,tumor
MGH45_P10_D12,tumor
MGH45_P10_E01,tumor
MGH45_P10_E02,tumor
MGH45_P10_E03,tumor
MGH45_P10_E04,tumor
MGH45_P10_E10,tumor
MGH45_P10_E11,tumor
MGH45_P10_E12,tumor
MGH45_P10_F01,tumor
MGH45_P10_F02,tumor
MGH45_P10_F03,tumor
MGH45_P10_F04,tumor
MGH45_P10_F05,tumor
MGH45_P10_F06,tumor
MGH45_P10_F07,tumor
MGH45_P10_F08,tumor
MGH45_P10_F09,tumor
MGH45_P10_F11,tumor
MGH45_P10_F12,tumor
MGH45_P10_G02,tumor
MGH45_P10_G04,tumor
MGH45_P10_G05,tumor
MGH45_P10_G06,tumor
MGH45_P10_G07,tumor
MGH45_P10_G10,tumor
MGH45_P10_G11,tumor
MGH45_P10_G12,tumor
MGH45_P10_H01,tumor
MGH45_P10_H02,tumor
MGH45_P10_H04,tumor
MGH45_P10_H06,tumor
MGH45_P10_H07,tumor
MGH45_P10_H08,tumor
MGH45_P10_H10,tumor
MGH45_P10_H11,tumor
MGH45_P10_H12,tumor
MGH45_P4_A01,tumor
MGH45_P4_A02,tumor
MGH45_P4_A07,tumor
MGH45_P4_A08,tumor
MGH45_P4_A10,tumor
MGH45_P4_A11,tumor
MGH45_P4_A12,tumor
MGH45_P4_B01,tumor
MGH45_P4_B05,tumor
MGH45_P4_B06,tumor
MGH45_P4_B08,tumor
MGH45_P4_B11,tumor
MGH45_P4_C07,tumor
MGH45_P4_C08,tumor
MGH45_P4_C10,tumor
MGH45_P4_D02,tumor
MGH45_P4_D05,tumor
MGH45_P4_D08,tumor
MGH45_P4_D09,tumor
MGH45_P4_D12,tumor
MGH45_P4_E01,tumor
MGH45_P4_E03,tumor
MGH45_P4_E04,tumor
MGH45_P4_E10,tumor
MGH45_P4_E12,tumor
MGH45_P4_F07,tumor
MGH45_P4_F08,tumor
MGH45_P4_F11,tumor
MGH45_P4_F12,tumor
MGH45_P4_G04,tumor
MGH45_P4_G05,tumor
MGH45_P4_G08,tumor
MGH45_P4_G10,tumor
MGH45_P4_G11,tumor
MGH45_P4_G12,tumor
MGH45_P4_H01,tumor
MGH45_P4_H02,tumor
MGH45_P4_H03,tumor
MGH45_P4_H05,tumor
MGH45_P4_H06,tumor
MGH45_P4_H07,tumor
MGH45_P4_H08,tumor
MGH45_P4_H09,tumor
MGH45_P4_H10,tumor
MGH45_P4_H11,tumor
MGH45_P5_A09,tumor
MGH45_P5_B04,tumor
MGH45_P5_B06,tumor
MGH45_P5_C12,tumor
MGH45_P5_E05,tumor
MGH45_P5_E09,tumor
MGH45_P5_F03,tumor
MGH45_P5_F07,tumor
MGH45_P5_F12,tumor
MGH45_P5_G04,tumor
MGH45_P5_H06,tumor
MGH45_P11_A01,tumor
MGH45_P11_A02,tumor
MGH45_P11_A03,tumor
MGH45_P11_A04,tumor
MGH45_P11_A06,tumor
MGH45_P11_A07,tumor
MGH45_P11_A08,tumor
MGH45_P11_A09,tumor
MGH45_P11_A10,tumor
MGH45_P11_A11,tumor
MGH45_P11_A12,tumor
MGH45_P11_B01,tumor
MGH45_P11_B02,tumor
MGH45_P11_B05,tumor
MGH45_P11_B08,tumor
MGH45_P11_B11,tumor
MGH45_P11_C01,tumor
MGH45_P11_C02,tumor
MGH45_P11_C03,tumor
MGH45_P11_C04,tumor
MGH45_P11_C06,tumor
MGH45_P11_C07,tumor
MGH45_P11_C08,tumor
MGH45_P11_C09,tumor
MGH45_P11_D01,tumor
MGH45_P11_D02,tumor
MGH45_P11_D03,tumor
MGH45_P11_D05,tumor
MGH45_P11_D07,tumor
MGH45_P11_D08,tumor
MGH45_P11_D10,tumor
MGH45_P11_D11,tumor
MGH45_P11_D12,tumor
MGH45_P11_E03,tumor
MGH45_P11_E04,tumor
MGH45_P11_E05,tumor
MGH45_P11_E06,tumor
MGH45_P11_E07,tumor
MGH45_P11_E08,tumor
MGH45_P11_E09,tumor
MGH45_P11_E10,tumor
MGH45_P11_E11,tumor
MGH45_P11_E12,tumor
MGH45_P11_F02,tumor
MGH45_P11_F03,tumor
MGH45_P11_F04,tumor
MGH45_P11_F06,tumor
MGH45_P11_F07,tumor
MGH45_P11_F08,tumor
MGH45_P11_F09,tumor
MGH45_P11_F10,tumor
MGH45_P11_F12,tumor
MGH45_P11_G01,tumor
MGH45_P11_G02,tumor
MGH45_P11_G03,tumor
MGH45_P11_G04,tumor
MGH45_P11_G05,tumor
MGH45_P11_G06,tumor
MGH45_P11_G07,tumor
MGH45_P11_G08,tumor
MGH45_P11_G09,tumor
MGH45_P11_G11,tumor
MGH45_P11_G12,tumor
MGH45_P11_H01,tumor
MGH45_P11_H02,tumor
MGH45_P11_H05,tumor
MGH45_P11_H06,tumor
MGH45_P11_H07,tumor
MGH45_P11_H09,tumor
MGH45_P11_H10,tumor
MGH45_P11_H11,tumor
MGH45_P11_H12,tumor
MGH45_P12_A01,tumor
MGH45_P12_A02,tumor
MGH45_P12_A03,tumor
MGH45_P12_A04,tumor
MGH45_P12_A05,tumor
MGH45_P12_A06,tumor
MGH45_P12_A07,tumor
MGH45_P12_A08,tumor
MGH45_P12_A09,tumor
MGH45_P12_A10,tumor
MGH45_P12_A11,tumor
MGH45_P12_A12,tumor
MGH45_P12_B01,tumor
MGH45_P12_B02,tumor
MGH45_P12_B04,tumor
MGH45_P12_B05,tumor
MGH45_P12_B06,tumor
MGH45_P12_B07,tumor
MGH45_P12_B08,tumor
MGH45_P12_B12,tumor
MGH45_P12_C01,tumor
MGH45_P12_C03,tumor
MGH45_P12_C04,tumor
MGH45_P12_C05,tumor
MGH45_P12_C07,tumor
MGH45_P12_C08,tumor
MGH45_P12_C09,tumor
MGH45_P12_C10,tumor
MGH45_P12_C12,tumor
